user_id,user,tweet_id,text,location,date
1255393579507351554,MonicaGandhi9,1442963607776489476,So I go back to two pieces I wrote with others on a hospitalization + vax rate metric guiding removal of masks. Thi… https://t.co/plC5uQTuPg,,2021-09-28 21:25:07+00:00
1150755395759005696,PublicO10056495,1442963604995780608,"@yael_becker 😆 yeah 😂 They will give you medicine to hopefully help you deal with Covid, not prevent it or lessen t… https://t.co/fIaTlC7AIn",,2021-09-28 21:25:07+00:00
24959025,bakersfieldnow,1442963597777272835,Los Angeles Lakers star LeBron James confirmed Tuesday he had gotten vaccinated against COVID-19 ahead of the new N… https://t.co/tzH78qseUe,,2021-09-28 21:25:05+00:00
15647482,WHLT22,1442963597261303809,Pfizer COVID-19 vaccine authorization for kids 5-11 may not come before November https://t.co/XzUAQMcNuS,,2021-09-28 21:25:05+00:00
1366846257231245312,Angell16915333,1442963589401305088,"They need to lose their jobs period!!
New York's Covid-19 vaccine mandate for health care workers leads to suspensi… https://t.co/85vKYdaJg8",,2021-09-28 21:25:03+00:00
34613951,BLaw,1442963566512926720,Federal health agencies would continue their work combating the Covid-19 pandemic in the event of a government shut… https://t.co/SCzDLrxrCF,,2021-09-28 21:24:57+00:00
1385360438175674371,RjNoggle,1442963561970503681,Im not aware of any other vaccine mandate on medical workers except for COVID. Why is that? What are they not telling us?,,2021-09-28 21:24:56+00:00
1375148947874881536,lynx_spider,1442963524498509829,"@Maryssa61943235 @WADeptHealth ...and why natural immunity+vaccine trumps natural immunity alone.
https://t.co/dw1QBr6Ztu /5",,2021-09-28 21:24:47+00:00
27706099,FOXBaltimore,1442963514486820864,4-year-old child accidentally receives COVID-19 vaccine https://t.co/H1oyQ6SrRu,,2021-09-28 21:24:45+00:00
386214955,DominikMusiol,1442963462804541447,@Frosty_mango305 @FelipeToZendon @ReidRayfield2 @sockbunkilla @HiiVibez @hbryant42 @Frosty_mango305 was shown to be… https://t.co/g19ZAsS1ya,,2021-09-28 21:24:33+00:00
763739369937178624,notmilana,1442963436770529280,"@nice2cu2cunice @Breaking911 Yeah, it was ok cause we DID NOT HAVE a Covid-19 vaccine in 2020.",,2021-09-28 21:24:26+00:00
1486269601,bd_slade,1442963424296804352,"@Free_Informed @VOCMOpenline As before, that's simply good science. Anything can happen, but in the history of vacc… https://t.co/T2O3lBt75r",,2021-09-28 21:24:23+00:00
22067218,prohealthcare,1442963368352968705,ProHealth Care is scheduling COVID-19 booster shot appointments for eligible people who received their second Pfize… https://t.co/IgpRYHOCAn,,2021-09-28 21:24:10+00:00
108606863,ILoveMCHD,1442963357389176832,CDC Director Rochelle P. Walensky has endorsed a booster shot of the Pfizer COVID-19 vaccine in certain populations… https://t.co/80SpYatXOY,,2021-09-28 21:24:08+00:00
15818468,billykidd925,1442963349440905217,"Show recap from 9/27/21: Why there might be a Christmas decoration shortage, New @RBTLAud Covid vaccine rules &amp;… https://t.co/1XT5Fi01ij",,2021-09-28 21:24:06+00:00
960728432110784512,boiseoutspoken,1442963331900342275,"Latest PHE report reveals the vaccinated account for 56% of Covid-19 cases, 61% of hospitalisations, and 77% of dea… https://t.co/F6m3GLQpyN",,2021-09-28 21:24:01+00:00
15896162,NEWS9,1442963319447437312,Health Watch Oklahoma: Confusion Over COVID-19 Booster Vaccine Eligibility https://t.co/x1zyZLWT1e,,2021-09-28 21:23:58+00:00
1442544962759892997,jeffcowen9,1442963309431459840,https://t.co/f3QLtCO459.    People of color driving down the vaccination numbers,,2021-09-28 21:23:56+00:00
16259594,WAVY_News,1442963208965218304,"The drugmaker and its partner, Germany’s BioNTech, say they expect to request emergency use authorization of their… https://t.co/1Q5JA12Y5H",,2021-09-28 21:23:32+00:00
890167891664023552,nwohollywood305,1442963201998475265,"@nottobebelieved @jack_msw @CbusPaulieD1977 @Mark_J_Ryan @washingtonpost I know someone that died from the vaccine,… https://t.co/8PQOtcqbaP",,2021-09-28 21:23:30+00:00
633057369,uppermike,1442963179445710849,And I have it on VERY GOOD word that hospitals are NOT filled with Covid patients. There may be a few here and ther… https://t.co/LDkV1gq2QT,,2021-09-28 21:23:25+00:00
1352606571914797056,DomarPierson,1442963163536769025,Wisconsin health officials urge thousands who got the Pfizer COVID-19 vaccine to get a booster shot,"Greenwood, MS",2021-09-28 21:23:21+00:00
1404936139627245571,GeorgeWTrumpWon,1442963162651938816,"@AngryFleas @janeyK_KAG 

Confirmed autoimmune disorder caused by vaccine
Was she aware of potential adverse side e… https://t.co/d2f82CVk9k",,2021-09-28 21:23:21+00:00
1095866451364216832,AlexanderTrimis,1442963153260744710,"Hi.

I got my COVID-19 booster vaccine.

It is working.

You might want to get it on a day when you have nothing else to do. Just saying.",,2021-09-28 21:23:19+00:00
23028896,JoeArellano,1442963134168252422,"FDA authorization of a Covid-19 vaccine for young children may not come until November, after Pfizer and BioNTech s… https://t.co/KlRJkJElQx",,2021-09-28 21:23:14+00:00
20017902,bob_calder,1442963122289971200,@NoahShachtman @TMZ Kareem Abdul-Jabar says he got COVID vaccine and if you don't you should get out of the game.,,2021-09-28 21:23:11+00:00
807384549567135744,NBAonSP,1442963093038845954,"Opinion: LeBron James finally speaks out in support of COVID-19 vaccine, but not loud enough https://t.co/Welke09kpL",,2021-09-28 21:23:04+00:00
283746214,cjrutty,1442963090136440832,Calgarian drops opposition to COVID-19 vaccine after traumatic ICU stay | CBC News https://t.co/QIeoJARCZp,,2021-09-28 21:23:04+00:00
1253778892554473472,Lombiart,1442963019365900296,@purpleisland @JennDeGruchy @bluereader01 @susankreizman @washingtonpost I lost mine to heart failure 5 months ago.… https://t.co/VDG9aoVA5M,,2021-09-28 21:22:47+00:00
864214718528987136,geraldinegirljp,1442963018485153792,@Anabel_Villeroy @PressSec And we remember when Dr. Fauci had no idea that so many Americans would be too selfish o… https://t.co/VyTSiGTXqi,,2021-09-28 21:22:47+00:00
4866713721,TorontoIDDoc,1442962999849803777,So many people are getting extra doses of COVID #vaccine for travel purposes due to policy inconsistencies. Most co… https://t.co/M0J7Qi99DD,,2021-09-28 21:22:42+00:00
365858034,KNeferhetep,1442962971450216451,Those who fought on front lines WERE EXPOSED TO COVID AND DIDNT GET IT and were out there WITHOUT PPE and WITHOUT V… https://t.co/ZmmTNCUX0T,,2021-09-28 21:22:36+00:00
8315392,zimm,1442962968942157824,@ImMythicalTV @itsjeaniebeanie @Log1kz_ @ToriHatake_ @HCS Maybe your unit doesn't have funding yet but it has been… https://t.co/mSl1N0ZyYB,,2021-09-28 21:22:35+00:00
16299627,CBSNewYork,1442962966937096196,Several school staff unions are warning the city is not prepared to make up for the thousands of employees it could… https://t.co/WWTabT21dQ,,2021-09-28 21:22:34+00:00
838139651793764352,CTBrannigan36,1442962870619176962,"I support Covid vaccine mandates for healthcare workers:

By protecting ourselves, we are protecting our patients.

💉 🏥",,2021-09-28 21:22:11+00:00
1396662069517332482,Miami_Standard,1442962862188625929,"New York @GovKathyHochul, a Democrat who assumed the job after @AndrewCuomo’s resignation, announced that she is pr… https://t.co/q8Fv8rKVvH",,2021-09-28 21:22:09+00:00
